CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
19164;GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK;Caixa;2;360;0;0;360
19225;RED BULL BR LATA 250ML CX C 24 NPAL .;Caixa;1;104;0;7;97
19227;RED BULL BR LATA 355ML FOUR PACK .;Caixa;1;7;0;0;7
19229;RED BULL BR LATA 250ML SIX PACK NPAL .;Caixa;1;888;0;13;875
19231;RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL .;Caixa;1;837;0;6;831
19266;BOHEMIA LT 269ML SH C/15;Caixa;1;81;0;49;32
19266;BOHEMIA LT 269ML SH C/15;Caixa;2;188;0;160;28
19309;TONICA ANTARCTICA GENGIBRE LT 269ML SH C/15;Caixa;2;135;0;11;124
19309;TONICA ANTARCTICA GENGIBRE LT 269ML SH C/15;Caixa;1;90;0;1;89
19321;GUARANA ANTARCTICA ZERO PET 200ML SH C/12;Caixa;1;806;0;13;793
19321;GUARANA ANTARCTICA ZERO PET 200ML SH C/12;Caixa;2;7486;0;576;6910
19668;ORIGINAL LATA 350ML SH C/12 NPAL;Caixa;1;1219;0;2;1217
19668;ORIGINAL LATA 350ML SH C/12 NPAL;Caixa;2;1640;0;21;1619
19729;STELLA ARTOIS LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;610;0;11;599
19729;STELLA ARTOIS LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;3233;0;72;3161
19822;COLORADO SESSION IPA ONE WAY 600ML CX C-12 ARTE;Caixa;1;1;0;0;1
20072;BECKS N LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;549;0;14;535
20072;BECKS N LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;549;0;60;489
20217;ORIGINAL GFA VD 300ML CX C/23;Caixa;1;1775;0;41;1734
20217;ORIGINAL GFA VD 300ML CX C/23;Caixa;2;129;0;10;119
20329;BRAHMA DUPLO MALTE 600ML;Duzia;1;554;0;2;552
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12;Caixa;1;2299;0;70;2229
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C 12;Caixa;2;7015;0;75;6940
20530;STELLA ARTOIS 600 ML;Duzia;1;3;0;2;1
20533;BRAHMA DUPLO MALTE GFA VD 1L;Duzia;1;24;0;0;24
20535;STELLA ARTOIS ONE WAY 600ML CX C/12 NPAL;Caixa;1;1;0;0;1
20647;BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL;Caixa;2;207;0;163;44
20647;BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL;Caixa;1;5;0;0;5
20651;CORONA EXTRA N LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;3932;0;5;3927
20651;CORONA EXTRA N LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;1954;0;440;1514
21020;BUDWEISER LT SLEEK 350ML CX CART C 12;Caixa;2;16988;0;63;16925
21020;BUDWEISER LT SLEEK 350ML CX CART C 12;Caixa;1;3806;0;11;3795
21391;AGUA MINERAL S/ GAS AMA PET 1,5L CAIXA C/6 NPAL;Caixa;2;1808;0;19;1789
21391;AGUA MINERAL S/ GAS AMA PET 1,5L CAIXA C/6 NPAL;Caixa;1;555;0;0;555
21441;SUKITA LIMAO PET 2L CAIXA C/6;Caixa;1;9;0;3;6
21441;SUKITA LIMAO PET 2L CAIXA C/6;Caixa;2;0;0;0;0
21501;COLORADO LAGER LN 355ML CX C/12;Caixa;2;0;0;0;0
21501;COLORADO LAGER LN 355ML CX C/12;Caixa;1;15;0;0;15
21526;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 1 L;Unidade;1;1399;0;0;1399
21526;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 1 L;Unidade;2;2098;0;0;2098
21527;TANQUERAY GIN LONDON DRY GARRAFA VIDRO 750ML;Unidade;1;106;0;0;106
21527;TANQUERAY GIN LONDON DRY GARRAFA VIDRO 750ML;Unidade;2;159;0;0;159
21529;ABSOLUT ORIGINAL GARRAFA VIDRO 1 L;Unidade;2;534;0;0;534
21529;ABSOLUT ORIGINAL GARRAFA VIDRO 1 L;Unidade;1;356;0;1;355
21530;SMIRNOFF ORIGINAL GARRAFA VIDRO 998ML;Unidade;1;13844;0;25;13819
21539;JIM BEAM WHITE GARRAFA VIDRO 1 L;Unidade;1;2;0;0;2
21658;SPATEN N LT SLEEK 350ML CX CART C 12;Caixa;1;12858;0;57;12801
21658;SPATEN N LT SLEEK 350ML CX CART C 12;Caixa;2;20739;0;7028;13711
21678;COLORADO INDICA LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;39;0;0;39
21678;COLORADO INDICA LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;9;0;0;9
21778;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 750ML;Unidade;1;15;0;0;15
21778;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 750ML;Unidade;2;23;0;0;23
21788;BALLANTINES FINEST GARRAFA VIDRO 1 L;Unidade;1;27;0;0;27
21788;BALLANTINES FINEST GARRAFA VIDRO 1 L;Unidade;2;41;0;0;41
21789;ORLOFF GARRAFA VIDRO 1 L;Unidade;1;563;0;8;555
21789;ORLOFF GARRAFA VIDRO 1 L;Unidade;2;844;0;0;844
21791;PIRASSUNUNGA 51 GARRAFA VIDRO 965ML;Unidade;1;1;0;0;1
21792;WHITE HORSE GARRAFA VIDRO 1 L;Unidade;1;1361;0;0;1361
21886;BEEFEATER LONDON DRY GARRAFA VIDRO 750ML;Unidade;1;138;0;0;138
21886;BEEFEATER LONDON DRY GARRAFA VIDRO 750ML;Unidade;2;208;0;0;208
21892;NOVECENTO VINHO ARG MALBEC GFA OW 750ML CX C/6;Caixa;1;73;0;0;73
